tweet,username,predict_sentiment
umkm luput target mas pram utk maju gubernur jakarta depan jakartamenyala,Aan_Hantorov,positive
iyeeeess tooosss prakaruntukjakarta utk gerak tindak wujud jakartamenyala,siapanamina,neutral
warung madura buka jam rupa hak hidup warga madura mata cahari manfaat jakartamenyala prakaruntukjakarta,Sukapuring,negative
pesona calon gubernur jakarta suka kalang muda tua  jakartamenyala jakartamnyala pramdoelmenang pramdoel,_CayoPerico,positive
pramono anung temu warga koja jakarta utara kamis  blusukan temu warga salah strategi kampanye pasang serap aspirasi dengar langsung masalah masyarakat jakartamenyala prakaruntukjakarta,Sukapuring,negative
calon gubernur jakarta nourut  sambang diam habib achmad muchdor kawasan cipete jakarta selatan kampanye pasang mas pram amp bang doel giat sowan tokoh agama jakartamenyala prakaruntukjakarta,elsaday__,neutral
mas prambang doel yg baur warga dki aura penuh kasih aura kasih jakartamenyala,ruhulanakgaul,positive
pram doel bikin jakartamenyala liat bro akisehat ,Dodyeonn,positive
benyamins award mas pram bang doel jakartamenyala pilkadajakarta,KoncoPertiwi,positive
warga jakarta butuh pimpin yg jujur tanggung dg kerja pilih sbg gubernur daerah khusus jakarta warga jakarta yg ros mantap tentu pilih kpd pramono utk jadi jakartamenyala,Ari3Pras,positive
in program usaha warga hidup bkn mati adlh harap utk jakartamenyala gk sprti bbrp yg mulyono mmbuat atur rokok dll utk warung madura usaha dhidupkn warung madura yg untung gk sbrpa dmatikan jancuk,AirinDatangLagi,positive
mas pram beres bangun pasar munjul mangkrak jakartamenyala pramdoelmenang pilkada pilkadajakarta pilkadaserentak,oposan62id,neutral
alas warga jakarta pilih mas pramono bang si doel jujur tanggung dlm kerja modal tanggung hasil insyaallah jakartamenyala prakaruntukjakarta,B3doel___,positive
pilih warga jakarta anak betawi asli bang doel rano karno bang doel betawi nyala jakartamenyala prakaruntukjakarta,Ari3Pras,positive
dagang ngerasa cekik retribusi nafas lega mas pram  bang doel tinjau ulang pungut jakartamenyala gak pake ribet,Y_Radianto,positive
sarah bang doel kampanye jakartamenyala pilkadaserentak pilkadajakarta pilkada pramdoelmenang,oposan62id,neutral
suara dri ros cipayungjaktim ud dpastikn akn dberikn utk amp bang doel ros adlh dri bnyk org yg mimpi jakartamenyala wujud ros adlh dri sekian bnyk org yg pimpin yg bkrja bkn yg gagal dri daerah mw coba urus jkt,AirinDatangLagi,negative
mantab pasang prakar pramono anung  rano karno dukung pbb pemuda batak satu pilgub dkj  jakartamenyala prakaruntukjakarta,03__nakula,positive
program pramdoel sektor budaya jakartamenyala,digcv,neutral
tebak judul film diremake posterposter udah nonton filmfilmnya pramonoanung ranokarno masprambangdoel jakartamenyala posterfilm,AnggaSambe31,neutral
tebak judul film diremake posterposter udah nonton filmfilmnya pramonoanung ranokarno masprambangdoel jakartamenyala posterfilm,AnggaSambe31,neutral
bikin jakartamenyala,AlasRandu2,negative
jujur cerdas amanah responsif masyarakat tanggung kerja kagak ribet dahm jakartamenyala prakaruntukjakarta,kenhans03,positive
mas pram usul bir pletok minum ciri khas jakarta pramdoelmenang jakartamenyala,AnggaSambe31,neutral
kumpul masyarakat madura yg gabung dlm madura satu deklarasi dukung pasang calon gubernur amp wakil gubernur jakarta nomor urut pramono anung rano karno pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,positive
bikin jakartamenyala,AlasRandu2,negative
momen calon gubernur jakarta temu silaturahmi ketua gereja hkbp sejakarta gedung sopo marpingkir pulo gebang jakarta timur prakaruntukjakarta jalin silaturahmi wujud jakartamenyala  fifa,AntoniusCDN,neutral
calon wakil gubernur dki jakarta nomor urut  rano karno alias si doel gelar kampanye kawasan lubang buaya jakarta doel tani sarah pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,neutral
calon gubernur dki nomor urut pramono anung dialog dagang pasar munjul jakarta pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,neutral
dukung alir kali warga madura jakarta mendeklaeikan dukung pramono anung  rano karno pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,positive
calon gubernur jakarta pramono anung temu warga koja jakarta utara papar program kerja pram dengar aspirasi warga pramono anung  rano karno jakarta nyala jakartamenyala prakaruntukjakarta,seruanhl,positive
nyala mas prambang doel lelah juang masyarakat jakarta jakarta nyala mas prambang doel omonomon kagak ribet dah jakartamenyala pramdoelmenang,DianaAurora96,negative
mas pram amp bang doel calon pimpin kenal daerah kenal masyarakat pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,positive
mantan sekretaris kabinet padagang umkm gantung kredit usaha rakyat kur kondisi uang baik pramdoelmenang pramdoelmenyala jakartamenyala jakartamnyala,Ganjarfor_ri,neutral
nih program maju budaya ala mas pram kagak ribet dah jakartamenyala,Aan_Hantorov,neutral
alm bang benyamin syueb film si doel anak sekolah insya allah bang doel wakil gubernur betawi jakarta al fatihah jakartamenyala,PemilihJ,positive
bakar gudang kawasan industri pulogadung duga korsleting listrik beritanasional jumat jakartamenyala bakar,NasionalBerita_,neutral
keren nih sekretaris kabinet  pramono anung raih harga detikcom awards  tokoh pimpin kolaboratif mas pram aku pimpin yg mudah bekerjasama dgn capai tuju yg jakartamenyala prakaruntukjakarta,FirzaHusainID,positive
lupa kali taman langsat seru sih jakartamenyala,istrinyaabah,negative
nyala ide mas pram bang bang doel keren bikin jakartamenyala huni creative hub atas kantor kurang huni jakarta solutif banget ya prakaruntukjakarta syahrini omakase yahya sinwar rafah unrwa,Muhayya__,positive
bikin jakartamenyala dukung mas pram bang doel ubah jakarta transfer prakaruntukjakarta,AlasRandu2,positive
harap dagang pasar munjul pilih jakarta pasar munjul cepat bangun dagang tenang jakartamenyala kagak pake ribet dah prakaruntukjakarta,Ari3Pras,neutral
mas peduli warga jakarta lintas provinsi warga jakarta sekat pandang kelompok mas pram layak gubernur jakarta jakartamenyala,PakarINTELek,positive
guys lu bingung ngaa sih liat gaya ridwan kamil  nyagub jakarta aja ribet nya ampun betawinisasi bawa bawa ngga pilih ngga ribet pasang mas pram bang doel dah pokok jakartamenyala  yahya sinwar  abidzar ,cahcilich,neutral
ekonomi mas pramono blusukan pasar munjul tonggak kuat ekonomi tunjang peran masyarakat kuat dagang tingkat daya beli masyarakat jakartamenyala prakaruntukjakarta  anggur dimyati omakase dzawin,_riverheaven,neutral
kampanye pilkada  pramono lokasi serap aspirasi dr warga jakarta salah satu pasar munjul cipayung jakarta timur jakartamenyala pramdoelmenang,CacaMaya3,neutral
emang jenius sih ide mas pram maklum lulus itb solusi huni kerja bikin hidup jakarta masuk akal gokil gagas mas pram dukung mas prambang doel jakartamenyala,ruhulanakgaul,positive
cagub jakarta nomor urut  blusukan pasar munjul cipayung jakarta timur jakartamenyala pramdoelmenang,ramerame_namae,neutral
survei singkat putar cipayung jakarta timur warga taruh harap pimpin yg keras maju dkj program realistis manfaat maju mas pram amp bang doel pilih jakartamenyala prakaruntukjakarta,tnmuda,positive
warung madura buka  jam keren ya insyaallah mas pramono bang rano menang pilih no  jakartamenyala prakaruntukjakarta ltgt erina omakase bahlil yahya sinwar dada abidzar,Eil_Thia,positive
pesan bu mega mas pegang teguh nurani hati rakyat jakarta jakartamenyala,PakarINTELek,negative
jakarta deklarasi dukung mas pram bang rano karno jakartamenyala bisadipegang erina yahya sinwar abidzar superjunior liam payne,Ranisor_6,neutral
ridwan kamil ijo udah amnesia proyek proyek nya ngga kelar hati hati warga jakarta jgn korban php jakartamenyala mas pram bang doel bluesky  abidzar  gopay  omakase  jumat berkah ,cahcilich,negative
selamat mas anugerah tokoh pimpin kolaboratif bekal alam yg milik mas pram beliau pimpin jakarta wujud jakartamenyala aman damai martabat     berita viral sih,DioR3born,positive
wacana warung madura operasi  jam atur pro rakyat pramdoel pasti warmad buka  jam jakartamenyala prakaruntukjakarta  yahya sinwar zonajajan tumbangkanfufufafa bahlil erina,_riverheaven,neutral
mas pram gelar pimpin kolaboratif versi detik jakartamenyala,trenzsolo,positive
kampanye pramono anung tekan baik infrastruktur layan publik jakartamenyala fokus kualitas hidup pramono tekad jadi jakarta kota layak huni kalang,iimwarga062,negative
tuju banget si nya mas pramono bukti tanggung kerja komitmen beliau benah jakarta bisadipegang warga jakarta pilih mas pram  bang doel jakartamenyala,DioR3born,positive
solusi tinggal warga jakarta keren kreatif masuk akal mukim warga satu kantor lantai kantor atas huni warga keren sih ide mas prambang doel bikin jakartamenyala,narkosun,negative
lahir mayor kebo dalem gang  biasa teman etnis bang doel kenyam didik formal sekolah katolik sore mengngaji pimpin jakarta ga ragu jiwa toleransi prakaruntukjakarta jakartamenyala,Penyair_Berdiri,positive
problem utama jakarta bebas lahan ajar lahan mas manfaat kantor camat lurah sekolah pasar puskesmas atas bangun huni coworking space jakartamenyala,kenhans03,negative
mas pram pasti warung madura buka  jam balai latih kerja utk tingkat sdm jakartamenyala prakaruntukjakarta,doctor__fabre,neutral
jakarta nyala kagak bikin ribet bikin mudah creative hub huni atas kantor solusi masuk akal mas pram bang doel jakartamenyala prakaruntukjakarta,ch_chotimah2,negative
dukung optimis menang jakarta nyala jakartamenyala pramonoanung ranokarno  yahya sinwar abidzar viral bisadipegang tanyasty,rafaaniii_,positive
emang sebestie ituuu percaya amat lebay rk panik krna takut kalah jkt tnp rk jakartamenyala prakaruntukjakarta lian payne abidzar doktor bahlil erina elon hobi asnawi marie antoinette jumat bluesky gopay omakase,NyaiKhonguan,positive
pramono anung raih detikcom awards  tokoh pimpin kolaboratif warga jakarta pilih mas pram bang doel jakarta senakin prakaruntukjakarta jakartamenyala,Penyair_Berdiri,positive
dukung mas  bang doel bendung warga jakarta warga jakarta program mas pram amp bang doel solutif realistis atas masalah jakarta kagak riget dah jakartamenyala,DianaAurora96,positive
pilih prakaruntukjakarta jakartamenyala ,BebySoSweet,negative
pramono tambah slb jakarta utara keluh warga nama upi apriyani milik rumah quran disabilitas jakarta utara jakartamenyala jakartamnyala pramdoelmenang pramdoel,_CayoPerico,positive
warga jakarta pilih mas pram  bang doel pilkada ya jakartamenyala,StellaSuwardi,positive
tinggal krn rasa ga kompeten track record kang emil wktu jd gubernur jabar buruk palagi kalo mimpin jakarta pantesan aja beking kang emil down jakartamenyala prakaruntukjakarta lian payne abidzar doktor bahlil erina elon hobi omakase,NyaiKhonguan,neutral
yg sorot kamera yg sorot yg pilih mas pram amp bang doel gubernur amp wakil gubernur jakarta jakartamenyala prakaruntukjakarta,OniMeniq74,positive
warga jakarta biar kenal cagub pramono anung amp cawagub dkj rano karno ayo ikut streaming aja acara jakarta nyala pramono  rano pimpin jakarta jumat  oktober  jam  wib garuda tv jakartamenyala prakaruntukjakarta,OniMeniq74,neutral
minum khas betawi jadi minum resmi acara formal jakarta pramdoel tang pilkada komitmen pramdoel angkat maju budaya betawi identitas jakarta jakartamenyala prakaruntukjakarta,mulanbilqis,neutral
blusukan pasar munjul jakarta pramono tinjau ulang retribusi dagang lanjut bangun pasar munjul yg mangkrak pramdoel jakartamenyala  haikal yamal erina yahya sinwar,Ghurem2,neutral
aamiin aamiin aamiin allahuma aamiin alhamdulillah moga doa dukung kyai warga jakarta utk mas pram bang doel dihijabahi allah swt aamiin jakartamenyala prakaruntukjakarta pramdoel,siapanamina,positive
warga pasar munjul dukung pramonobang doel pimpin jakarta harap bawah pimpin pramdoel pasar munjul cepat lanjut bangun jakartamenyala prakaruntukjakarta,mulanbilqis,positive
salah hobi rk bangun apa mangkrak monumen mesin parkir tinggal kang emil rungkad  m krn ga efekfif lagilagi mubazir kalo ga lambai tangan kang jakarta rk jakartamenyala prakaruntukjakarta liam payne erina elon omakase bluesky,NyaiKhonguan,neutral
mas pram layak selamat mas pramono anung raih detikcom awards  kategori tokoh pimpin kolaboratif jakartamenyala prakaruntukjakarta,OniMeniq74,positive
agama jakartamenyala prakaruntukjakarta,tnmuda,neutral
langsung  sambit dr kiri emang assuu ayo bantu kawal jakartamenyala ,JhoenRf,neutral
 jakarta rk  teriak warga pasar cipulir rk kalo malu dah pulang sajandak ngeles pake style selfi sm ciwi jakartamenyala,siapanamina,negative
calon gubernur jakarta pramono anung temu ketua gereja hkbp sejakarta gedung sopo marpingkir pulo gebang jakarta timur pramono anung  rano karno nyala jakartamenyala prakaruntukjakarta,seruanhl,neutral
dg penuh haru bangga cak lontong wakil pramono anung terima harga detikcom award sbg tokoh pimpin kolaboratif alhamdulillah jakartamenyala  rasulullah yahya sinwar erina,Ghurem2,positive
jakarta nyala pramonorano pimpin jakarta streaming on garuda tv jumat  okt jam  wib ramai  jakarta nyala jakartamenyala prakaruntukjakarta,mulanbilqis,neutral
bang doel mpok oneng rieke ojol nyala bantu pulang jenazah anak siti kemudi ojol yg tinggal kamboja jakartamenyala prakaruntukjakarta,JhoenRf,positive
wuih jakartamenyala,MasSodikin4,positive
gubernur jakarta berat bob biar mas ga dar uang rumah mobil aplg smp nyuri uang perintah kriminal maseeee udah biar mas pram bang doel  kagak ribet dah bikin rakyat jakarta hidup lbh jakartamenyala,Jelli_cent,neutral
mas pram jadi bir pletok welcome drink ciri khas jakarta prakaruntukjakarta jakartamenyala,Cintada16,positive
polemik jam buka warung madura pramono anung warung madura buka  jam tingkat sdm mas pram program latih kerja jakarta nyala jakartamenyala prakaruntukjakarta,mulanbilqis,neutral
pramono anung komitmen lanjut bangun pasar munjul mangkrak tinjau ulang restrribusinya cekik dagang pramdoel rakyat jakartamenyala prakaruntukjakarta,mulanbilqis,neutral
bas komunitas riah panggung seni budaya festival malioboro  regional topreport serenity,mmtcradiojogja,neutral
mana nih ayo acara cfd muanteb surabaya asik seru bgttt muanteb polll,haiauroraa,positive
cepet banget ya,simelimeli,positive
gue ikut acara lazada ya wihh keren dehh lazada cfd muanteb nih surabaya,spyssii,positive
fancam rriibbkaaaaa belalang bangkang at fomofestival soloo,LynnnAjaa_,positive
fyi kue kapal italia kue enak ak makan,abahmochinator,neutral
grocery date iwa enak ga gel belanja muat tangan i love my man tenaga gorilla ,korikobi,positive
kumpulin nyawa ,nekomiue,negative
dibantuin biar bangkit,ourjiminn,positive
sumpah asli lucu anjir,fushigurosn,positive
bokep,kathrynihh69105,positive
sowrry telat pamer muka nya,wonwojeon,negative
tetep gw gabisa bedain yg e  o ,hjtaeblue,negative
fakmen gak sedih ,sunooe,negative
dah pagi event nak cakap ,dlstmxkakalfa,neutral
td mikir kaya,Shinjiii_Lee,neutral
simple nya dasar nya subject  verb spok nya ya svo svoda,darth_nicolas1,negative
dapet langsung whatsapl ya,jokisabuncuci,positive
polres klungkung laksana aman giat kampanye bentuk simekrama tatap muaka paslon paket jaya  i ketut juliarta  i made wijaya  dusun peninjoan desa paksebali dawan klungkung  ,PKlungkung,neutral
assalamualaikum akhwatummahat gimana kabar  moga sehat ya ana ken tau ni alam cs blasphemy nya yg ken cs blasphemy komen ya hihi chatsekssange chatseks sange blasphemy ukhtilonte hijabcrot jilbabsange,AkhiPutra6,neutral
gaaaaasssssssd,sbj_211,positive
dalawa pa naman tp nowtlp lantern at ep ,ArizYaniham,neutral
mayan gede api moga lancar ,cocomeo03,positive
hilang arah hidup hp ku poco x pro matot data nda backup usaha baik konter daerah kirim hp daerah hasil nihil  semenjak jadi kayak semangat ngapa ngapain,widodo_kun,negative
smash hamas,Jacks_my_da,neutral
pls tukar tenggorokann,urmikoo,neutral
yg warna bungkus ungu lucu,gonraqx,positive
aaaa makasii epie lu telat bulan jg gapapah,wonsuv,negative
woylah my baby rizky ridhow,Rabbitheart17,positive
lari tanda lemah kadangkadang butuh rehat isi ulang energi,sxtmaa,positive
kalo skrg sih kakak ayo bangun,nkarinayu,neutral
wsalam jazakallah,salmanh52669011,positive
kalo ran selamat pagi,orIandoau,neutral
taaaan guapa ,estergutierrezr,positive
dem gue main bl hp aja kalah  kali,sungchanub,negative
gpp mabok agama tanda sadar agama mabok uang utk periuk nasi agama jual,inorii_yuzuriha,neutral
nggak,raditzdj,negative
candy strawberry domisili tegal jawa,_velma_inc,neutral
kj mak awak ker niat hati diawow sangka pulak ya,taranamalah,negative
tabok gw pls,jongpages,negative
cek akun timnas liat postingan  september moga,rhnMuhammad_,neutral
kesel bgtttt ,allisgooddd,negative
wkwkkwwk hoshi ,mostlywonuu,positive
aduuuuh tulis tahu ngebajak gimana ya,Kirafiol,negative
weyh twitter is a mess ,wonkittieluver,neutral
wkwkwk tauu,Baeblue_yeppo,positive
jamet premium sayang,strawbaekbee,positive
iya bener sie,riyansupyans,positive
butuh  sehat  istri,Proflematik,positive
,isocaat,positive
 jam bkerja pulang pulang lgsung tidur kh ,Lumiefairy,neutral
sarap semangka ,jurnalayaa,positive
tuju,mynmeisrose,negative
bokep,Deborah0052531,positive
kkuma bangett sihh gemesshhh,cherry_kupse,positive
pspsps,ReizaKloise,positive
terima kasih sore d,bononjakarta,positive
ganteng doang jembut cwe panggang,911lovin,positive
pagiyy,alieffiannn,positive
bisaa donggg k,nerosecrse,positive
lisalo,grizzportugal,positive
lahiya cocok scratches head,lutrinaephilia,positive
ajg pagi bangsat,hikenjuro,neutral
kamar lantai  mana lantai  jendela full kaca gede,naayaana_a,negative
trump elon rogan and rfk,realJonPulaski,neutral
yg prosedur nya  ucap terima kasih mas berkah dalem,mreko13111970,positive
udah jarang jbjb mute ,itsyiyii,neutral
bahahhahaa yuk isi form by,chamofmile,neutral
kasihan belas kasih,irfanTi98,negative
tebak mo ngapain,cloudyyyninee,neutral
salamt rho jnb,mahnoorcuti,positive
riyal dh rese sok iye,slytheebin,negative
skwk anakny,Chndrawhyn,positive
yuu,anjanialam,neutral
wawww konsisten kak saluttt gua ama resesi ekonomi global ngk tentu perang timur emas tembus   juta gram taun,Rey1799835Rey,neutral
ga yg main purrgatory kah yg ken main laptop pls main,recsognition,negative
mekejang itung ci mad,gedeagus0361,positive
mat morgen mi amante buka baju gegara abis nyuci kapal,lenaHe_Honmono,neutral
kaki gue sakit banget dipake jalan ,poncooopw,negative
tidur lg kak,aszrrrrrrr,neutral
iba mi cangrejo fav,JHoelTintayaPE,neutral
prendi,YunneWhit_Casta,positive
no  ramai international students dkt private amp international school negara from china korea japan me etc me mostly pegi private islamic is caya pi tengok imas cthnya ,AnyaCumi,neutral
yaallah mimpiin crush rasa nyata bgtt ,krerupuk,negative
telat nonton,vausko,negative
manusia mejijikan berisik pergi ku harap cepat,EXOL_oT8,negative
info gempa mag okt  wib lok lu  bt  km baratdaya boalemogorontalo kedlmn km bmkgmni,InfoFPMKI,neutral
yaallah apaa ,akucintaenhypen,positive
kadang gue syukur nikmat instastory tementemen gue kayak ngeliat capai aja gue ngerasa bangga bikin gue motivasi bangkit,peabuttears,positive
wajar  cari sibuk mending nder lupa,ballehts,neutral
serius deh km butuh bukti,WONBINcak,neutral
klo kakak brp pasti,goodmoodvibz,positive
shubh prabaht,Kshatriya100,positive
keyboard smashing wkwkwkwkakak,twelvelvets,positive
minimal malu sih ye,riizeuw,negative
hidup susah nyusahin orang ga bunuh aja bang ,mimo_ronnie,negative
cinta nct,aerizenny,positive
ga tau jga,selenaulannn,negative
dream in jakarta hongkong bangkok tds  behind,wihechan,neutral
udah wkwk gua sempet gabisa volume setting call emergency,Rocellane,negative
alhamdulillah jg goreng tugas,gothiicluck,neutral
pakai straw nda muak mnum byk ,theaaa951,negative
non kali ku suka non,ensephalonn,negative
taek,MugiwaraNatasya,positive
 sekolah  mabok dlu,cegil_inaction,neutral
ken dibecekin memek ,Alexange69_,neutral
abaaanggg keluarga oke,Nishipmura,neutral
nunggu mas pram fotofoto aneka gaya lupa jari  jakartamenyala kagakribetdah untungadapramdoel,istrinyaabah,neutral
gen z mamak malam minggu mas pram bang doel taman langsat yuk rapat jakartamenyala untungadapramdoel,istrinyaabah,neutral
pramono anung dedikasi dengar aspirasi masyarakat blusukan laku keliling serap hadap rakyat jakartamenyala,SaguKeju8,negative
warga kebon melati nyala satu jakartamenyala prakaruntukjakarta,JhoenRf,negative
pilih yg pastipasti aja deh jejak digital gw pilih mas pram bang doel  gw jakartamenyala  gw optimis pramdoelmenang ,LinNasution,negative
asli the jak the jak asli    th masak masak kalah sm yg  minggu bobotoh dadak the jak gegara nyagub yo mas juara mas pram bang doel u jakartamenyala,Jelli_cent,neutral
kagak ribet jakartamenyala ,JhoenRf,neutral
tuh   susah punggung  lemah kurang propaganda nama   privilege  jakartamenyala gagas original pesan,SETYAKI22965702,negative
kalo nasdem rapat alhamdulilah prakaruntukjakarta jakartamenyala,JhoenRf,negative
momen mas pram silaturahmi komunitas paguyuban warga jakarta jawa kasmaran pimpin leles sudarmanto joglo jateng condet balekambang jaktim jakartamenyala,istrinyaabah,positive
selamat yg raih detikcom awards  tokoh pimpin kolaboratif nominasi sorot mampu mas pram bangun kerja lintas sektor eksekutif legislatif tokoh politik jakartamenyala prakaruntukjakarta,DS_yantie,positive
usia  mas pram doa prabowo subianto presiden moga pimpin bangsa bawa masalah ekonomi tuntas amin moga doa baik kabul jakartamenyala,AnakLolina2,positive
mas pram harga tokoh pimpin kolaboratif detikcom awards  nyala abangkuuh jakartamenyala,narkosun,neutral
pramono anung politis visioner paham dengar rakyat prinsip lupa nurani rakyat bangun fondasi politik kuat orientasi sejahtera masyarakat jakartamenyala,iimwarga062,negative
kuat energi lapis masyarakat mas pram bang deol anak betawai wajib menang pilkada jakarta  jakartamenyala prakaruntukjakarta  irish bella  abu janda  yahya sinwar,Urrangawak,positive
gerbang aswaja jakarta timur dukung pramono anung rano karno pilkada jakarta dekat kultural menang pasang anggap wakil suku jakarta jakartamenyala jakartamnyala pramdoelmenang pramdoel,_CayoPerico,neutral
jowo silaturahmi jalin terima kasih dukung mas mbak inshaallah amanah gaskeun jakartamenyala,pramonoanung,positive
dr camat latih bina job fair yg ada  minggu cari kerja kerja sesuai dgn skillnya anggur minimal ribet yg kagak pake ribet jakartamenyala prakaruntukjakarta,JhoenRf,neutral
bang doel anak betawi asli nengokin warga jakarta belanja biar dikelarin pas wagub yuk enyak babeh lupa pilih pramrano no  jakarta nyala jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,alfeandraputra_,neutral
slank aja dukung pramrano resin lingkung jakarta jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,alfeandraputra_,neutral
cra utk mnjga budaya betawi prbnyk komunitas org betawi krn it bs mnjdi sarana utk mnjaga eksistensi dri budaya betawi it sndiri melestarikn budaya betawi slh nya dgn mnetapkn cagar budaya ampjuga mnetapkn waris gk benda yg ud dttpkn mnjdi waris milik jkt jakartamenyala,AirinDatangLagi,neutral
jkt adlh kota yg modern kota yg ad indonesia mnjdi tmpat adu nasib pndtng utk mncari untung mnjdi tuju tulang punggung dri daerah jakartamenyala,AirinDatangLagi,positive
terima kasih mas pram jakartamenyala,Aan_Hantorov,positive
allhamdulillah mas pram harga tokoh pimpin kolaboratif ngebuktiin mampu mas pram bangun kerja lintas sektor terima harga wakil o cak lontong ketua timses mas pram bang doel mantap jakartamenyala ,LinNasution,positive
spartan nyala gercep gerak cepat warga butuh bantu kursi roda esok hari langsung antar bukti mas pram amp bang doel kagak ribet gercep pramonorano jakartamenyala nomor,MarahIchsan,neutral
spartan nyala kagak pake ribet hujan panas langsung gass bukti mas pram bang doel ngasih bukti janji percaya tang paslon nomor urut  jakartamenyala,DioR3born,positive
nahh pimpin gak baper kalo kritik jgn kaya ridwan kamil cagub jabar yg emosi kritik warga cagub no  ketawa ngakak roasting komika jakartamenyala gopay  skandal,cahcilich,positive
wadaaw slb jakarta utara akses didik mudah doong didik yg rata bikin jakartamenyala terang mas bang emang syips,TOM5helby,positive
spartan fafifu langsung gerak cepat warga butuh bantu kursi roda esok hari langsung antar bukti mas pram amp bang doel kagak ribet gercep pramonorano jakartamenyala nomor prakaruntukjakarta,KangManto123,neutral
keluh kait banyak sandang disabilitas modal pram janji dana hibah modal kerja disabilitas pilih gubernur jakarta pramono anung  rano karno nyala jakartamenyala prakaruntukjakarta,seruanhl,positive
peduli disabilitas amp butuh khusus peduli amp support umkm peduli lestari budaya betawi yg raih harga tokoh politik kolaboratif detikcom dkj nyala pramdoel jakartamenyala prakaruntukjakarta,tnmuda,positive
umkm tonggak ekonomi indonesia ada umkm bantu daya support umkm mati usaha pramdoel siap dana hibah laku umkm jakartamenyala prakaruntukjakarta  rafael struick irish bela abu janda domisili,_riverheaven,positive
program benyamin s award usung pasang calon gubernur wakil gubernur dki jakarta pramono anung rano karno pilkada  nilai langkah ideal ubah jakarta kota global jakartamenyala,Ganjarfor_ri,neutral
daya umkm titik prioritas utama jakartamenyala akses modal umkm sektor nonformal buka selebarlebarnya geliat ekonomi kelas tengah nyala,TOM5helby,neutral
peduli nyata jakartamenyala,digcv,positive
perintah mesti hadir fasilitas sandang disabilitas mas pram janji tambah slb jakarta utara pilih gubernur daerah khusus jakarta jakartamenyala prakaruntukjakarta skandal exhuma risma yahya sinwar,Muhayya__,positive
calon gubernur jakarta nomor urut  pramono anung janji dana hibah laku usaha mikro tengah umkm pilih pilkada jakarta  jakartamenyala prakaruntukjakarta,Sukapuring,positive
saking cinta warga kebon jati histeris kerubut bang doel pingin salam poto bareng jakartamenyala,Jr_Kawe19,positive
ucap selamat ulang prabowo mas pram calon gubernur jakarta pramono anung ucap selamat ulang presiden pilih prabowo subianto jakartamenyala prakaruntukjakarta,Sukapuring,positive
calon gubernur daerah khusus jakarta pramono anung selamat ulang prabowo moga sehat mas pramono  bang rano jakartamenyala prakaruntukjakarta  hebohbanget hercules gopay agatha christie indah g anies skandal,Eil_Thia,positive
keren kubu lawan panas dingin waga nyanyi rano gubernur gue sambut bang doel kebon jati jakartamenyala,Jr_Kawe19,positive
 ya kampung lahir pimpin bagus kampung transfer abdul ghoni sambut tepuk tangan riah jajar aye mah ngikut forkabi dukung keras pramdoelmenang jakartamenyala,Attaraharja,positive
ya politik riang gembira alhamdulillah hebohbanget politikus nasdem hadir kampanye mas pramono  bang rano jakartamenyala prakaruntukjakarta  hercules gopay agatha christie indah ganies,Eil_Thia,positive
sekretaris kabinet seskab  pramono anung raih harga detikcom awards  tokoh pimpin kolaboratif harga detikcom awards  gelar the westin jakarta kamis  jakartamenyala prakaruntukjakarta,Sukapuring,neutral
bener banget sabar yaa tinggal bulan dikit aja jakartamenyala,DioR3born,positive
bener bang doel putra daerah bukti angkat harkat martabat warga betawi ngapa kudu pilih pimpin transfer jakartamenyala prakaruntukjakarta,abizaiden,positive
pilih nomor  jakarta nyala pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,positive
pramono anung bangun sekolah slb jakarta utara komitmen upi apriyani milik rumah quran khusus disabilitas jakarta utara pram doel mas pram bang doel jakartamenyala kagakribetdah,MP_Memanggil,positive
mas pram nengokin warga jakarta belanja biar dikelarin pas gubernur yuk enyak babeh lupa pilih pramrano no  jakarta nyala jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,fahrialfariz_12,neutral
putra daerah spt bang doel rano yg bukti angkat budaya betawi ngapain pilih pimpin transfer tuju banget wa ma forkabi pramdoelmenang jakartamenyala,Rosmaliaagata,positive
pramono  rano sepakat budaya betawi kuat sebentar jakarta hilang status kota negara kembang budaya tdk liput seni didik amp kuliner pram doel mas pram bang doel jakartamenyala kagakribetdah,MP_Memanggil,neutral
slank aja dukung pramrano resin lingkung jakarta jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,fahrialfariz_12,neutral
benyamin s award milik visi bangun kota bersih nyaman indah sejahtera warga jakartamenyala ya kudu dukung mas prambang doel rano dunk lupa yeee nomer  pramdoelmenang,Rosmaliaagata,positive
jakartamenyala abangkuuuuuu ngik,HumorJonTampan,positive
